ID	payment_type	power_consumption	HHH	HGEW	MTREG0G	MTKAU0G	MTSTR0G	MTBEB0G	MTSTA0G	MTBON0G	MTADE0G	MTALT0G	MTFAM0G	MTKDI0G	MTKLE0G	MTKKL0G	MTKGB0G	MTKGL0G	SCMWGR2	SCMWGR3	SCMWGR4	SCMWGR5	SCMWGR6	SCMWGR7	SCMWGR21	SCMWGR22	PHARM1	PHARM2	PHARM3	PHARM4	PHARM5	PHARM6
28603	2	3748																														
22558	2	860	7	0	15	-4	1	3	6	2	4	5	1	6	1	0	4	2	3	3	5	2	1	2	4	5	1	1	7	1	5	6
37170	1	5705	1	0	15	-6	3	1	2	1	9	5	7	10	1		8	1														
25059	1	1587	6	0	14	-8	1	3	2	3	6	5	2	5	4	0	8	2	2	2	5	3	1	1	2	3	3	1	4	6	4	3
33605	1	329	1	0	15	-7	1	1	7	8	1	2	9	7	1	3	5	0	1	1	4	2	1	3	2	3	4	1	4	7	6	6
22742	2	1771	1	0	16	-8	1	1	5	1	9	5	7	7	3		3	2														
11541	2	3501	1	0	13	-9	1	1	4	6	5	3	8	7	2	0	4	0	3	1	5	4	1	2	4	1	7	1	7	4	4	7
12005	2	1407	1	0	14	-5	1	1	2	3	7	4	9	2	1	0	2	0									6	2	1	5	3	5
3354	2	2505	6	0	16	-7	3	3	4	3	9	6	2	6	2	0	1	0	3	5	5	1	1	5	3	2	2	1	7	1	4	6
5238	2	1477	11	0	15	-6	1	4	3	3	4	5	1	3	5	3	3	0	4	5	2	1	2	4	3	5	6	4	6	2	5	7
33745	2	58	2	0	16	-7	1	1	2	1	7	4	7	8	3	6	4	3	5	1	2	2	3	2	1	5	6	3	7	1	2	5
16400	2	1157	6	0	14	-7	1	3	2	2	9	5	7	10	1	0	3	0	1	5	1	5	5	3	3	2	3	1	7	4	1	7
22714	2	1191	4	0	13	-9	1	2	5	6	5	3	7	10	3		2	0														
37477	2	526	1	0	14	-3	3	1	9	4	7	3	7	8	3	0	8	0	1	1	5	3	1	2	3	1	1	3	4	5	2	5
2385	2	992	8	0	14	-8	4	3	5	3	6	6	1	9	1	6	3	0	2	5	3	3	1	5	5	1	2	6	7	2	2	5
29669	1	736	1	0	14	-8	1	1	7	3	7	4	4	5	2	0	3	0	4	2	4	4	2	5	4	2	1	1	6	1	2	5
28577	2	3868	1	0	13	-3	1	1	8	6	7	5	7	8	9	0	1	0	2	5	5	4	4	5	5	4	7	3	1	1	7	2
