ID	canceler
28603	no
22558	no
37170	no
25059	no
33605	no
22742	no
11541	no
12005	no
3354	no
5238	no
33745	no
16400	no
22714	no
37477	no
2385	no
29669	no
28577	no
112	yes
2969	no
1882	no
27176	yes
1834	no
29777	yes
15380	no
29463	no
16787	no
14524	no
25308	no
31564	no
13268	no
11838	no
31764	yes
34998	no
9448	no
15274	no
18805	yes
1596	no
38203	no
38197	no
10331	no
16193	no
35954	no
10219	no
10302	no
20628	no
35873	no
6917	no
30641	no
9066	no
6471	no
2407	no
27181	no
21334	no
35467	no
2734	no
30571	no
19174	no
21756	no
35225	no
4616	no
15330	no
13467	no
17751	no
18353	no
18431	no
8449	no
14247	no
36865	no
3556	no
20900	no
23033	no
7804	yes
4863	no
7051	no
3774	no
13957	no
38109	no
12205	no
32657	no
36271	no
32020	no
2157	no
5387	no
8169	no
19829	no
21860	no
17490	no
16776	no
3955	no
10251	no
17237	no
38505	no
28783	no
30386	yes
1451	no
36589	no
18246	no
26063	no
21143	yes
32179	no
7475	no
12452	yes
31320	no
13702	no
27954	no
19628	no
23027	no
2780	no
5839	no
419	no
28448	no
30057	no
31555	no
34	no
9936	no
20550	no
37273	no
36824	no
26410	no
8115	no
16206	no
16105	no
18888	no
8327	no
27620	no
34295	no
37476	no
27108	no
31203	no
24116	no
13585	no
15653	no
18993	no
34885	no
31133	no
3810	no
7906	no
18122	no
7651	no
17666	no
23088	no
2368	no
24714	no
8293	yes
252	no
1084	no
34179	no
36109	no
3635	yes
14920	no
6834	no
15414	no
16826	no
10192	no
6106	no
26717	no
36776	no
7859	no
29723	no
166	no
36818	no
35675	no
29111	no
2131	no
34068	no
25327	no
8378	no
28353	no
34435	no
10318	no
20825	yes
28710	no
20997	no
9409	yes
13101	yes
31752	no
9311	no
7975	no
10763	no
21429	yes
27308	no
31648	no
3677	no
10586	no
6231	no
6833	no
22241	no
33491	no
29494	no
6620	no
12728	no
17010	no
22470	no
24470	yes
11351	no
25473	yes
23546	no
10865	yes
30381	no
11651	no
3160	no
7092	no
36945	no
16657	no
7525	no
21667	no
23247	no
20134	no
36455	no
6979	no
36556	no
23541	yes
4417	no
19245	no
21800	no
17115	no
19435	yes
26380	no
13555	no
34598	no
34281	yes
11030	no
13448	no
26846	no
936	no
30459	no
28692	no
29218	no
967	no
21539	yes
27239	no
19471	no
14938	no
14872	no
25645	no
33188	no
16920	no
18885	no
14143	no
19864	no
23817	no
29715	no
14253	yes
35935	no
30661	no
15204	no
30500	no
37024	no
26457	yes
28942	no
11468	no
17554	no
32598	no
23721	no
14561	yes
3398	no
11670	no
6169	no
27716	no
15910	no
34079	no
8991	no
22065	no
10719	no
35109	no
19380	no
10570	no
16350	no
13317	no
17727	no
17800	yes
15399	no
25802	no
27559	no
10975	no
31090	no
37321	no
14554	no
15802	no
24338	yes
14977	no
35707	no
26067	no
23228	no
35692	no
36714	no
36972	no
31383	no
2106	no
26494	no
8627	no
31498	no
26458	no
37772	yes
2981	no
36085	no
2344	no
23461	no
37808	no
15427	no
18607	no
16582	no
35997	no
36204	no
19346	no
22589	yes
38281	no
28719	yes
38128	no
38174	yes
10137	yes
21633	no
36953	no
7837	no
26455	no
18275	no
12946	no
23148	no
5973	yes
790	no
11771	no
15840	no
5984	no
15367	no
7691	no
22868	no
24986	no
34692	no
34805	yes
16737	no
15378	no
24292	no
13110	no
14088	no
21912	no
10300	no
31922	no
20801	no
27678	no
34789	no
5044	no
33562	no
12367	no
12109	no
25832	no
36847	no
17057	no
37220	yes
20352	no
5059	no
25050	no
2897	no
36247	no
987	no
1990	no
29662	no
7308	no
18258	no
36487	no
18178	no
21671	no
23904	yes
34480	no
35494	no
5410	no
31728	no
4265	no
17718	no
23767	no
20924	no
26734	no
7114	no
31230	no
29774	no
34533	yes
25624	no
1452	no
28766	no
21192	no
30864	no
33683	yes
12824	no
10773	no
26178	no
23854	yes
35439	no
18940	no
287	no
30822	no
16940	no
14735	no
37430	no
594	no
12354	yes
35461	no
15624	no
9049	no
18639	no
8948	no
6958	no
22521	no
12406	no
26964	no
35684	no
649	no
29066	no
19799	no
23399	no
9400	no
15037	no
27739	no
1619	no
1245	no
12401	no
20100	no
35737	no
3861	no
36583	yes
34119	no
37620	yes
622	no
22185	no
11257	no
24829	no
17523	no
5337	no
37985	no
20504	no
34254	no
13523	no
2736	no
25643	no
34193	no
35546	no
19264	yes
4379	yes
32686	no
4879	yes
30119	no
1631	no
28685	no
16274	no
2740	no
22173	yes
9078	no
20746	yes
6881	no
4476	no
655	yes
10304	no
4146	no
7942	no
20956	no
22383	yes
28573	no
7202	no
16854	no
36220	no
3491	no
10745	no
21577	no
2040	no
18668	no
37432	no
15907	no
32118	no
22788	no
12773	no
36030	no
33245	no
30285	no
6411	yes
2296	no
5194	no
12130	no
22455	no
18991	yes
33434	no
25465	no
6876	no
25876	no
29597	no
20962	no
28280	no
5439	no
34815	no
19913	no
11550	no
15532	no
3203	no
15848	yes
1705	no
15098	yes
2789	no
2455	no
4493	no
10811	no
5669	no
17625	no
12192	no
14203	no
24881	no
16467	no
1742	yes
102	no
21450	no
16564	no
17829	no
27166	yes
3950	no
26803	no
1564	no
5244	no
17590	no
21047	no
29639	no
35161	no
24641	no
25760	no
4232	no
33081	no
34399	yes
11211	no
24215	no
34198	yes
24391	no
2424	no
18367	no
5025	no
34888	no
6623	no
32320	no
2038	no
35295	no
18954	no
3047	no
3605	no
3612	no
30494	no
29728	no
16750	no
15575	no
1338	no
14078	no
36402	no
12402	no
9196	no
30296	no
1039	no
10299	no
8404	no
25024	no
11645	yes
11637	no
34028	no
2180	no
26425	no
17928	no
20923	no
37491	yes
31708	no
38150	no
7172	no
38475	no
20616	no
11825	no
25828	no
28957	no
30744	no
36809	no
17473	no
14754	no
21881	no
4927	no
27710	no
23199	no
10954	no
24341	no
24142	no
30275	no
12314	no
20470	no
13375	no
13595	no
30732	no
7575	no
25298	no
16507	no
37787	yes
5950	no
27873	no
32136	no
19077	no
696	no
33229	no
11464	no
10545	no
1552	no
34165	no
29981	no
34938	no
11005	no
21494	no
739	no
1072	no
32518	no
17098	no
15206	no
26035	no
29960	yes
16186	no
8677	no
12529	no
9501	no
33586	no
12430	no
2467	no
3399	no
11524	no
37918	no
12216	no
13719	no
2187	no
20303	no
31614	no
3084	no
26823	no
27046	no
24458	no
19458	no
35362	no
16242	no
25899	no
17498	no
24532	no
36260	no
29304	no
26202	no
25928	no
23215	no
28430	no
7947	no
22536	no
23569	no
35576	no
1725	no
16230	no
24231	no
36516	yes
28592	no
14984	no
16071	no
34398	no
1	no
18702	no
17982	yes
37235	no
19006	no
15922	no
15009	no
18486	no
4078	no
12397	no
31495	yes
14824	no
37048	no
32076	no
17042	yes
20555	no
27818	no
16938	no
15347	no
16343	no
7081	no
5955	no
34184	no
33567	no
9670	no
7867	no
22547	no
13526	no
1827	yes
4562	no
37414	no
4442	yes
5198	no
37654	no
18337	no
19543	no
8661	no
33737	no
34334	no
14189	no
38567	no
24471	no
14653	no
26685	no
8462	no
15983	no
10552	yes
12970	no
27980	no
27230	no
33431	no
23516	yes
7792	no
17097	no
4093	no
37757	no
36310	no
12848	no
37150	no
10800	no
31109	no
29842	no
36351	no
3986	no
35049	no
18637	no
18939	no
31317	no
6184	no
11687	no
17917	no
27000	no
25118	no
6089	no
27388	no
27223	no
33697	no
12199	no
29789	no
36457	no
13672	no
24480	no
20217	no
37002	no
38344	no
2765	no
11791	no
24557	yes
15156	no
30773	no
33638	no
19704	no
30231	no
25614	no
2370	no
3960	yes
1352	no
21057	no
36728	no
2663	no
35186	no
398	no
28018	no
11636	no
10253	no
10969	yes
16059	no
16947	no
35432	no
32087	no
1036	no
11755	no
16212	no
15980	no
29263	no
7566	no
21216	no
3585	no
10812	no
15600	no
9748	no
36287	yes
33333	no
3375	no
32552	no
33639	no
15126	no
18268	no
19748	no
17707	no
25997	no
16951	no
32002	no
1538	no
949	no
32769	no
35891	no
27207	no
11097	yes
35451	no
17283	no
29442	no
4098	yes
25226	no
38408	yes
1920	no
10180	no
26962	no
29673	no
9155	no
30697	no
22098	no
34571	no
17784	no
13569	no
4437	no
27089	no
29080	no
14366	no
12675	no
17705	no
32608	no
1746	no
12797	no
26884	no
31281	no
1347	no
22634	no
17660	no
11289	no
5571	no
26383	no
32545	yes
19567	no
9710	no
28097	no
9402	no
20260	no
5924	no
1819	no
34564	no
34547	no
23169	no
34638	no
2154	no
31871	no
12986	no
35302	no
2602	no
16788	no
24706	no
23135	no
23213	no
15408	no
32892	no
7009	no
11528	no
10463	no
128	no
12050	yes
14230	no
17511	no
29817	no
3131	no
33106	no
18957	no
10696	no
33224	no
9655	no
11071	no
37802	yes
10306	yes
13946	yes
14209	yes
30297	no
38225	no
30535	no
36036	no
30791	no
28593	no
3785	no
13327	yes
22731	no
18723	no
8590	no
15791	yes
38090	no
34431	no
17950	no
3262	yes
31283	no
25063	no
5853	yes
32860	no
21055	no
5064	no
17282	yes
38085	no
26740	no
38134	no
27570	no
17447	no
21138	no
32993	no
4221	no
33485	yes
11253	no
8868	no
21060	no
20021	no
17588	no
25980	yes
40	no
15852	no
32574	no
4748	no
32457	no
14724	no
32302	no
11663	no
8433	no
29046	no
24026	no
28259	no
10040	no
26626	no
34909	no
27644	no
37156	no
37451	no
9187	no
21033	no
10339	no
6017	no
37667	no
10515	no
30513	no
