ID	payment_type	power_consumption	HHH	HGEW	MTREG0G	MTKAU0G	MTSTR0G	MTBEB0G	MTSTA0G	MTBON0G	MTADE0G	MTALT0G	MTFAM0G	MTKDI0G	MTKLE0G	MTKKL0G	MTKGB0G	MTKGL0G	SCMWGR2	SCMWGR3	SCMWGR4	SCMWGR5	SCMWGR6	SCMWGR7	SCMWGR21	SCMWGR22	PHARM1	PHARM2	PHARM3	PHARM4	PHARM5	PHARM6	canceler
22891	2	138	7	0	16	-7	1	3	1	2	9	5	2	4	2	3	1	0	3	5	3	4	3	3	2	3	1	1	6	7	2	6	no
26663	1	6034	2	1	14	-8	1	1	2	2	9	4	7	9	2	0	9	3	5	1	1	5	4	5	4	2	6	2	3	4	4	6	no
2253	2	4996	2	0	16	-6	1	1	6	8	6	4	9	8	4	0	8	0	5	5	4	3	3	5	2	3	7	5	2	3	7	6	no
26769	2	1514	1	0	15	-7	1	1	2	1	8	6	7	10	2	0	2	2	3	2	3	2	2	2	3	5	6	1	2	1	7	7	no
11264	2	3115	8	0	16	-5	1	3	1	8	7	4	3	8	1	3	2	0	3	5	5	2	1	4	2	2	3	1	4	5	6	6	no
12042	2	5587	1	1	14	-7	3	1	8	7	9	5	5	4	1	0	3	0	1	1	4	4	3	1	1	1	6	7	7	5	7	7	no
20398	2	112																															no
32353	2	1570	3	0	15	-3	3	2	7	2	6	7	5	8	2	6	3	3	5	4	2	5	3	4	5	1	1	4	7	2	1	2	no
27453	2	1538	5	0	13	-7	1	2	5	5	9	4	3	6	3	0	5	1	3	1	2	3	1	1	5	4	6	1	7	4	4	4	no
25843	1	2347	2	0	16	-9	3	1	6	3	6	5	6	10	4	6	9	3	4	2	3	2	1	3	1	2	7	2	7	1	6	6	no
30977	2	1619	7	1	12	-7	1	3	2	8	8	5	2	3	2	0	3	0	3	4	4	4	5	2	2	3	3	1	7	4	1	7	no
24098	2	2117	1	1	13	-8	3	1	6	3	8	6	7	10	3	0	1	0	2	1	2	5	2	2	5	1	4	6	7	1	3	6	yes
8065	1	1393	7	1	16	-9	3	3	2	1	7	5	5	9	2		4	1															no
12936	2	2296	4	0	13	-7	3	2	6	8	7	4	5	9	2	0	6	1	3	3	3	5	1	3	2	1	1	2	1	1	1	7	no
32950	1	6383	1	1	15	-5	3	1	4	1	9	6	5	9	6	0	5	3	4	1	5	2	3	1	3	5	1	3	4	4	2	5	no
37095	2	1449	2	0	16	-9	1	1	5	8	3	4	3	9	1	3	7	2	4	1	2	2	1	2	1	1	6	1	3	2	4	7	no
16530	2	4138	1	0	16	-6	1	1	4	2	6	4	9	10	2	0	3	0	4	1	1	3	1	3	1	2	2	4	7	5	1	1	yes
2371	2	3280	7	0	16	-7	1	3	1	1	9	6	4	9	1	3	2	1	4	4	4	5	4	3	4	3	5	1	6	7	2	6	no
5672	1	853	2	0	13	-6	1	1	4	2	5	4	5	8	2	0	4	0	5	2	3	2	1	3	4	2	1	1	7	2	1	5	no
22138	2	1590	2	0	16	-8	1	1	8	3	9	4	4	8	3	3	6	0	5	3	1	4	2	3	3	1	7	1	7	3	2	3	no
3484	2	3305	1	0	14	-9	1	1	1	7	9	2	9	10	2	0	7	0				4		5			1	7	2	1	3	1	no
10280	2	2651	1	0	16	-7	1	1	3	8	3	3	7	10	3	3	5	0	5	1	3	3	1	3	4	3	3	1	7	1	4	7	no
21120	2	507	2	0	13	-2	3	1	6	9	6	2	9	8	3	3	8	0	2	2	4	2	5	5	4	5	1	1	2	3	3	7	no
29178	2	656	6	0	12	-2	3	3	7	5	4	4	3	2	2	0	8	0	1	4	5	1	3	3	5	5	1	5	7	4	1	2	no
16453	2	1420	5	0	13	-9	1	2	3	3	5	6	1	6	2	3	3	2	4	4	5	2	1	4	5	4	2	2	5	2	1	7	no
1798	2	4791	2	0	15	-7	3	1	2	3	9	5	8	7	4	0	5	2	3	3	3	1	5	1	3	2	4	2	7	5	2	5	no
10978	1	2333	0	1	13	-5	3	0	9	3	7	4	9	7	4	3	5	1	1	3	4	4	1	1	1	1	6	4	7	3	1	2	no
10094	2	674	3	0	16	-7	1	2	3	4	4	3	5	6	2	6	4	3	2	5	4	1	1	3	2	1	4	1	7	1	3	7	no
19273	2	2194	1	0	14	-7	3	1	6	3	4	5	8	8	2	0	2	0	1	3	4	5	2	4	1	3	7	2	1	5	7	7	no
36641	2	1446	6	0	13	-5	1	3	8	6	9	4	1	6	3	3	3	0	4	4	5	2	1	3	3	2	4	2	5	3	1	6	no
37889	2	4453	2	0	16	-3	1	1	5	2	6	5	5	7	4	3	3	2	2	1	1	3	2	3	2	3	1	1	6	1	1	6	no
9087	2	1875	3	0	12	-6	1	2	2	8	8	4	5	9	3		7	1															no
38207	2	1032	7	0	16	-5	1	3	2	3	7	5	5	5	5	0	3	2	3	4	5	2	1	4	3	3	7	2	5	2	3	4	no
26947	2	682	8	0	16	-2	3	3	2	5	6	3	2	5	2	3	9	0	2	5	2	2	3	4	1	1	3	1	7	3	4	3	no
3458	2	4992	1	1	16	-8	1	1	9	5	7	4	6	5	3	0	4	0	5	1	5	5	5	2	5	5	3	3	6	3	3	6	no
27310	2	2926																															no
3513	1	1625	1	1	14	-8	1	1	4	2	9	4	6	10	4	0	6	1	3	3	4	3	1	3	5	1	5	1	1	5	5	7	no
25436	2	5955	1	1	16	-8	4	1	2	2	8	5	9	5	1	0	6	3	3	3	5	1	3	2	5	2	6	2	2	4	6	7	no
13575	1	456	3	0	15	-5	1	2	3	9	5	3	3	7	1	0	9	0	2	2	5	3	5	2	3	3	1	5	6	4	4	3	no
18591	2	2039	9	0	14	-7	1	3	3	3	2	4	5	10	1	3	7	1	3	5	4	5	5	5	1	4	6	1	7	3	1	7	no
20490	1	3073	8	1	14	-7	1	3	2	3	5	4	4	7	1	0	5	0	5	5	3	1	5	5	1	1	6	1	7	4	3	5	no
9349	1	1212	7	0	15	-5	1	3	5	3	6	4	1	8	2	0	6	0	1	4	1	3	3	5	2	1	2	1	7	1	2	6	no
18392	2	2132	2	1	15	-3	3	1	7	2	9	5	8	3	4	6	3	2	1	5	1	4	1	3	1	2	7	1	7	5	1	6	no
13473	2	3773	2	0	16	-7	4	1	4	3	9	4	7	10	4	6	5	0	5	4	1	3	5	5	4	4	2	1	7	1	6	6	no
4667	1	2342	1	0	13	-9	3	1	5	4	9	5	6	8	5	3	1	0	5	1	2	4	2	4	5	1	4	1	3	2	4	6	no
10347	2	4887	1	0	16	-8	3	1	6	3	9	3	7	10	1	3	3	3	3	3	3	4	3	4	1	1	7	3	3	5	2	3	no
9163	2	1867	4	1	16	-6	1	2	2	3	5	5	6	7	2	6	7	2	3	5	3	1	2	4	3	3	6	3	6	1	2	1	no
17892	2	9	1	0	16	-9	4	1	1	1	9	5	7	7	2	3	4	0	2	4	4	3	1	5	4	2	2	1	1	3	6	7	no
16517	2	4312	2	0	16	-8	1	1	3	7	7	4	5	10	2		3	3	3	5	3	2	4	5	3	1	5	2	1	4	5	7	no
32977	2	1541	2	0	16	-9	1	1	2	6	6	2	8	7	2	0	8	0	5	1	4	4	1	1	4	3	4	1	4	7	1	7	no
1641	2	2449	1	1	14	-9	1	1	5	2	8	4	8	10	3	6	7	2	1	3	4	5	4	4	5	3	5	2	1	5	6	7	yes
12044	2	2712	1	0	16	-7	4	1	2	9	5	3	1	9	5	0	2	0	5	1	4	4	2	1	2	4	6	1	3	7	1	7	no
34085	1	1538	5	0	14	-8	1	2	2	3	8	5	5	10	2	6	8	0	1	3	5	2	3	3	3	3	6	2	7	1	3	5	no
23478	2	2419	9	0	13	-7	1	3	4	3	9	5	3	10	2	0	2	0	4	5	3	3	1	3	2	4	7	2	7	1	1	7	yes
33517	2	3836	1	0	14	-6	1	1	9	3	9	3	6	7	5	3	7	2	3	2	5	3	1	1	3	2	1	2	3	4	5	6	no
31602	1	191	1	0	14	-6	1	1	2	1	9	6	3	8	1	6	3	1	3	4	3	2	5	4	1	5	2	1	1	6	6	7	no
2643	1	1277	1	0	13	-6	1	1	3	3	6	5	1	8	5	3	8	0	2	3	2	5	4	2	3	4	1	3	1	2	5	5	no
9348	2	1205	11	0	13	-6	1	4	3	2	8	6	1	2	1	0	4	0	4	5	4	3	1	3	3	2	5	2	5	2	1	2	no
14910	1	2409	6	0	15	-5	1	3	1	4	9	4	3	8	4	0	3	0	1	3	2	3	1	3	1	3	4	1	5	7	1	7	no
32729	1	5407																															no
6619	1	4051																															no
38059	2	1237	1	0	14	-7	1	1	4	1	9	6	5	7	1	6	5	3	1	2	2	2	5	3	1	4	5	2	1	5	3	4	no
6554	1	3045																															no
18951	2	3722	1	0	14	-9	1	1	9	5	8	4	8	10	3	3	8	0	3	4	3	5	5	5	4	4	5	3	7	4	3	5	no
8129	2	1216	5	0	14	-7	1	2	2	6	7	4	4	10	1	0	1	0	2	5	2	3	1	1	3	1	2	1	7	4	3	7	no
10938	1	2184	2	0	16	-8	1	1	1	7	4	3	5	9	2	3	4	0	3	2	4	1	3	3	3	5	5	1	4	7	5	6	no
33977	2	5291	1	0	14	-9	2	1	6	1	8	5	6	10	6	6	7	0	2	5	4	2	1	5	1	2	2	2	1	5	7	7	no
